mode,raw_cm-1,scaled_cm-1,IR_km_mol-1
1,69.5435,66.85216654999999,0.9003
2,160.4042,154.19655746,0.4719
3,215.6885,207.34135505,1.352
4,384.0655,369.20216515,5.4818
5,416.6706,400.54544778,0.4539
6,436.784,419.8804592,6.7396
7,497.1994,477.95778322000007,5.7632
8,611.435,587.7724655,64.9995
9,631.997,607.5387161,0.6767
10,637.565,612.8912345000001,51.9981
11,704.8699,677.5914348700001,1.5306
12,730.4833,702.21359629,128.3719
13,778.2608,748.14210704,9.9771
14,818.0497,786.3911766100001,0.0419
15,869.1683,835.53148679,0.0613
16,957.7663,920.70074419,1.3549
17,985.8192,947.6679969600001,0.1147
18,1010.3101,971.2110991300001,0.1017
19,1020.0778,980.6007891400001,0.8613
20,1053.7986,1013.0165941800001,11.1145
21,1103.7783,1061.06207979,61.3625
22,1128.7505,1085.0678556500002,47.7699
23,1194.8548,1148.61391924,0.5555
24,1202.4756,1155.9397942800001,132.8263
25,1224.1647,1176.78952611,130.394
26,1353.3059,1300.9329616700002,3.7942
27,1368.4456,1315.4867552800001,4.4681
28,1394.731,1340.7549103000001,120.0651
29,1498.3916,1440.4038450799999,16.5999
30,1543.0746,1483.3576129799999,1.6092
31,1642.3362,1578.77778906,4.5821
32,1663.0197,1598.66083761,17.681
33,1820.5579,1750.1023092700002,298.1402
34,3186.7094,3063.3837462200004,0.4794
35,3198.9303,3075.13169739,15.5653
36,3209.0086,3084.8199671800003,21.7393
37,3227.0749,3102.18710137,5.0906
38,3232.2193,3107.1324130900002,3.1497
39,3699.0534,3555.90003342,71.5085
