mode,raw_cm-1,scaled_cm-1,IR_km_mol-1
1,18.3667,17.655908710000002,1.1308
2,30.7318,29.54247934,0.0057
3,59.8847,57.567162110000005,3.6362
4,63.6452,61.18213076000001,0.0
5,72.329,69.5298677,0.0
6,86.016,82.68718080000001,0.5403
7,105.9715,101.87040295000001,0.0
8,119.9627,115.32014351000001,0.0
9,169.6051,163.04138263,0.0038
10,188.2637,180.97789481,0.0
11,262.4678,252.31029614000002,0.0
12,288.4045,277.24324585,60.8551
13,390.271,375.16751230000006,1.3734
14,416.9817,400.84450821,0.0
15,417.0009,400.86296517,0.045
16,429.0681,412.46316453000003,0.0
17,447.6528,430.32863664,1.5982
18,451.8398,434.35359974000005,0.0
19,513.1162,493.25860306000004,0.0
20,550.2186,528.9251401800001,88.9347
21,632.1523,607.68800599,0.0
22,632.2243,607.75721959,0.6023
23,668.2409,642.3799771700001,0.0
24,678.3831,652.12967403,49.2397
25,696.8455,669.8775791500001,5.3952
26,698.0688,671.05353744,0.0
27,722.2767,694.32459171,113.419
28,723.114,695.1294882000001,0.0
29,805.7638,774.5807409399999,0.0
30,818.5616,786.88326608,0.0048
31,818.9629,787.2690357700001,25.5541
32,819.1414,787.44062782,11.0405
33,869.2923,835.6506879899999,0.0276
34,869.3555,835.71144215,0.0
35,916.0684,880.61655292,0.0003
36,959.8993,922.7511970900001,4.2178
37,960.1099,922.9536468700001,0.0
38,965.1683,927.81628679,225.319
39,986.3978,948.22420514,0.0001
40,986.4784,948.30168592,1.7554
41,1010.4354,971.33155002,0.0
42,1010.4495,971.34510435,0.229
43,1019.9049,980.43458037,3.1295
44,1020.1159,980.63741467,0.0
45,1054.3392,1013.5362729599999,15.8777
46,1054.6598,1013.8444657399999,0.0
47,1110.4821,1067.50644273,0.0005
48,1110.5583,1067.57969379,16.5074
49,1157.3197,1112.53142761,9.7657
50,1160.929,1116.0010477,0.0
51,1194.8349,1148.5947893700002,0.6903
52,1194.8481,1148.60747853,0.0007
53,1209.1729,1162.37790877,55.5603
54,1210.2275,1163.39169575,0.0
55,1325.7206,1274.41521278,0.0086
56,1330.266,1278.7847058000002,561.1351
57,1357.3118,1304.78383334,0.0011
58,1358.9705,1306.37834165,242.9874
59,1369.0786,1316.0952581800002,0.0005
60,1369.3489,1316.35509757,22.1176
61,1472.9486,1415.94548918,259.2559
62,1494.4942,1436.65727446,0.0
63,1498.3549,1440.3685653700002,66.1879
64,1511.1378,1452.65676714,0.0
65,1544.5187,1484.7458263100002,17.7397
66,1544.6974,1484.91761062,0.0044
67,1640.9146,1577.41120498,37.5307
68,1641.5723,1578.0434519900002,0.0003
69,1662.8594,1598.50674122,54.3046
70,1662.9342,1598.57864646,0.0185
71,1720.4494,1653.86800822,0.0
72,1765.4874,1697.16303762,847.9886
73,3088.6867,2969.1545247100003,0.0128
74,3185.4957,3062.2170164100003,3151.4191
75,3186.8377,3063.50708101,0.0016
76,3187.8146,3064.4461749800003,2440.4371
77,3199.3421,3075.52756073,0.9458
78,3199.3497,3075.5348666100003,30.8807
79,3209.2972,3085.09739836,0.0
80,3209.6434,3085.43020042,8.8929
81,3229.0471,3104.08297723,0.0346
82,3229.069,3104.1040297,7.6195
83,3233.8387,3108.68914231,3.8711
84,3233.8635,3108.71298255,0.1732
