mode,raw_cm-1,scaled_cm-1,IR_km_mol-1
1,3752.0,3630.0,94.4
2,3212.0,3107.0,2.27
3,3203.0,3099.0,4.65
4,3190.0,3086.0,11.97
5,3180.0,3077.0,10.04
6,3168.0,3066.0,0.33
7,1780.0,1722.0,367.51
8,1643.0,1589.0,17.45
9,1622.0,1569.0,5.15
10,1528.0,1478.0,1.38
11,1486.0,1437.0,14.61
12,1365.0,1320.0,114.27
13,1355.0,1311.0,4.26
14,1339.0,1295.0,1.69
15,1210.0,1170.0,58.73
16,1188.0,1150.0,160.9
17,1184.0,1146.0,1.67
18,1115.0,1078.0,39.34
19,1091.0,1055.0,120.45
20,1048.0,1014.0,19.15
21,1022.0,989.0,0.21
22,776.0,750.0,8.05
23,639.0,618.0,47.88
24,633.0,612.0,0.38
25,497.0,481.0,6.01
26,384.0,371.0,4.7
27,217.0,210.0,1.56
28,1025.0,992.0,0.02
29,1011.0,978.0,0.03
30,972.0,940.0,1.23
31,873.0,845.0,0.03
32,828.0,801.0,0.15
33,732.0,708.0,125.79
34,702.0,679.0,4.73
35,594.0,575.0,61.58
36,437.0,423.0,8.95
37,415.0,401.0,0.39
38,159.0,153.0,0.57
39,61.0,59.0,1.11
