wavenumber_cm-1,normalized_intensity
4.210526,1.000000
8.421053,1.000000
12.631579,1.000000
16.842105,1.000000
21.052632,1.000000
25.263158,1.000000
29.473684,1.000000
33.684211,1.000000
37.894737,1.000000
42.105263,1.000000
46.315789,1.000000
50.526316,1.000000
54.736842,1.000000
58.947368,1.000000
63.157895,1.000000
67.368421,1.000000
71.578947,1.000000
75.789474,0.946360
80.000000,0.720307
84.210526,0.593870
88.421053,0.681992
92.631579,0.716475
96.842105,0.681992
101.052632,0.498084
105.263158,0.471264
109.473684,0.662835
113.684211,0.689655
117.894737,0.666667
122.105263,0.582375
126.315789,0.417625
130.526316,0.283525
134.736842,0.206897
138.947368,0.145594
143.157895,0.118774
147.368421,0.095785
151.578947,0.080460
155.789474,0.065134
160.000000,0.057471
164.210526,0.049808
168.421053,0.042146
172.631579,0.034483
176.842105,0.038314
181.052632,0.045977
185.263158,0.068966
189.473684,0.130268
193.684211,0.187739
197.894737,0.176245
202.105263,0.107280
206.315789,0.053640
210.526316,0.030651
214.736842,0.026820
218.947368,0.019157
223.157895,0.015326
227.368421,0.011494
231.578947,0.011494
235.789474,0.007663
240.000000,0.003831
244.210526,0.003831
248.421053,0.003831
252.631579,0.003831
256.842105,0.003831
261.052632,0.007663
265.263158,0.003831
269.473684,0.000000
273.684211,0.000000
277.894737,0.000000
282.105263,0.000000
286.315789,0.000000
290.526316,0.000000
294.736842,0.000000
298.947368,0.000000
303.157895,0.000000
307.368421,0.000000
311.578947,0.000000
315.789474,0.000000
320.000000,0.000000
324.210526,0.000000
328.421053,0.000000
332.631579,0.000000
336.842105,0.000000
341.052632,0.000000
345.263158,0.000000
349.473684,0.000000
353.684211,0.000000
357.894737,0.000000
362.105263,0.000000
366.315789,0.000000
370.526316,0.000000
374.736842,0.000000
378.947368,0.000000
383.157895,0.000000
387.368421,0.003831
391.578947,0.003831
395.789474,0.000000
400.000000,0.000000
404.210526,0.003831
408.421053,0.007663
412.631579,0.011494
416.842105,0.049808
421.052632,0.088123
425.263158,0.068966
429.473684,0.015326
433.684211,0.007663
437.894737,0.003831
442.105263,0.003831
446.315789,0.003831
450.526316,0.000000
454.736842,0.000000
458.947368,0.000000
463.157895,0.000000
467.368421,0.000000
471.578947,0.000000
475.789474,0.000000
480.000000,0.000000
484.210526,0.000000
488.421053,0.000000
492.631579,0.000000
496.842105,0.000000
501.052632,0.003831
505.263158,0.003831
509.473684,0.003831
513.684211,0.000000
517.894737,0.000000
522.105263,0.000000
526.315789,0.000000
530.526316,0.000000
534.736842,0.000000
538.947368,0.000000
543.157895,0.000000
547.368421,0.000000
551.578947,0.000000
555.789474,0.000000
560.000000,0.000000
564.210526,0.000000
568.421053,0.000000
572.631579,0.000000
576.842105,0.000000
581.052632,0.000000
585.263158,0.000000
589.473684,0.000000
593.684211,0.000000
597.894737,0.000000
602.105263,0.000000
606.315789,0.000000
610.526316,0.011494
614.736842,0.099617
618.947368,0.203065
623.157895,0.057471
627.368421,0.003831
631.578947,0.000000
635.789474,0.000000
640.000000,0.000000
644.210526,0.000000
648.421053,0.000000
652.631579,0.000000
656.842105,0.007663
661.052632,0.011494
665.263158,0.000000
669.473684,0.000000
673.684211,0.000000
677.894737,0.000000
682.105263,0.000000
686.315789,0.000000
690.526316,0.000000
694.736842,0.000000
698.947368,0.000000
703.157895,0.000000
707.368421,0.007663
711.578947,0.015326
715.789474,0.003831
720.000000,0.000000
724.210526,0.000000
728.421053,0.000000
732.631579,0.000000
736.842105,0.000000
741.052632,0.000000
745.263158,0.000000
749.473684,0.000000
753.684211,0.000000
757.894737,0.000000
762.105263,0.000000
766.315789,0.000000
770.526316,0.003831
774.736842,0.003831
778.947368,0.003831
783.157895,0.011494
787.368421,0.022989
791.578947,0.107280
795.789474,0.298851
800.000000,0.187739
804.210526,0.026820
808.421053,0.030651
812.631579,0.045977
816.842105,0.030651
821.052632,0.007663
825.263158,0.003831
829.473684,0.000000
833.684211,0.000000
837.894737,0.000000
842.105263,0.000000
846.315789,0.003831
850.526316,0.007663
854.736842,0.007663
858.947368,0.003831
863.157895,0.000000
867.368421,0.000000
871.578947,0.000000
875.789474,0.000000
880.000000,0.000000
884.210526,0.000000
888.421053,0.000000
892.631579,0.000000
896.842105,0.000000
901.052632,0.000000
905.263158,0.000000
909.473684,0.000000
913.684211,0.000000
917.894737,0.000000
922.105263,0.000000
926.315789,0.000000
930.526316,0.000000
934.736842,0.000000
938.947368,0.003831
943.157895,0.000000
947.368421,0.000000
951.578947,0.000000
955.789474,0.000000
960.000000,0.000000
964.210526,0.000000
968.421053,0.000000
972.631579,0.000000
976.842105,0.003831
981.052632,0.000000
985.263158,0.015326
989.473684,0.026820
993.684211,0.015326
997.894737,0.203065
1002.105263,0.988506
1006.315789,0.436782
1010.526316,0.015326
1014.736842,0.007663
1018.947368,0.007663
1023.157895,0.061303
1027.368421,0.114943
1031.578947,0.053640
1035.789474,0.007663
1040.000000,0.003831
1044.210526,0.000000
1048.421053,0.000000
1052.631579,0.000000
1056.842105,0.000000
1061.052632,0.000000
1065.263158,0.003831
1069.473684,0.003831
1073.684211,0.003831
1077.894737,0.003831
1082.105263,0.000000
1086.315789,0.000000
1090.526316,0.000000
1094.736842,0.000000
1098.947368,0.000000
1103.157895,0.003831
1107.368421,0.003831
1111.578947,0.003831
1115.789474,0.007663
1120.000000,0.011494
1124.210526,0.019157
1128.421053,0.049808
1132.631579,0.057471
1136.842105,0.042146
1141.052632,0.015326
1145.263158,0.011494
1149.473684,0.007663
1153.684211,0.019157
1157.894737,0.026820
1162.105263,0.015326
1166.315789,0.022989
1170.526316,0.026820
1174.736842,0.038314
1178.947368,0.053640
1183.157895,0.045977
1187.368421,0.030651
1191.578947,0.019157
1195.789474,0.007663
1200.000000,0.003831
1204.210526,0.003831
1208.421053,0.003831
1212.631579,0.003831
1216.842105,0.003831
1221.052632,0.000000
1225.263158,0.003831
1229.473684,0.003831
1233.684211,0.003831
1237.894737,0.003831
1242.105263,0.003831
1246.315789,0.003831
1250.526316,0.003831
1254.736842,0.007663
1258.947368,0.007663
1263.157895,0.007663
1267.368421,0.015326
1271.578947,0.026820
1275.789474,0.042146
1280.000000,0.049808
1284.210526,0.088123
1288.421053,0.111111
1292.631579,0.111111
1296.842105,0.068966
1301.052632,0.038314
1305.263158,0.019157
1309.473684,0.015326
1313.684211,0.019157
1317.894737,0.026820
1322.105263,0.049808
1326.315789,0.042146
1330.526316,0.015326
1334.736842,0.007663
1338.947368,0.007663
1343.157895,0.007663
1347.368421,0.007663
1351.578947,0.007663
1355.789474,0.003831
1360.000000,0.003831
1364.210526,0.003831
1368.421053,0.007663
1372.631579,0.007663
1376.842105,0.007663
1381.052632,0.003831
1385.263158,0.003831
1389.473684,0.003831
1393.684211,0.003831
1397.894737,0.003831
1402.105263,0.003831
1406.315789,0.003831
1410.526316,0.003831
1414.736842,0.003831
1418.947368,0.007663
1423.157895,0.007663
1427.368421,0.011494
1431.578947,0.011494
1435.789474,0.019157
1440.000000,0.026820
1444.210526,0.026820
1448.421053,0.022989
1452.631579,0.011494
1456.842105,0.011494
1461.052632,0.011494
1465.263158,0.007663
1469.473684,0.007663
1473.684211,0.003831
1477.894737,0.003831
1482.105263,0.003831
1486.315789,0.003831
1490.526316,0.003831
1494.736842,0.007663
1498.947368,0.007663
1503.157895,0.003831
1507.368421,0.003831
1511.578947,0.003831
1515.789474,0.007663
1520.000000,0.007663
1524.210526,0.007663
1528.421053,0.007663
1532.631579,0.007663
1536.842105,0.007663
1541.052632,0.007663
1545.263158,0.007663
1549.473684,0.007663
1553.684211,0.011494
1557.894737,0.011494
1562.105263,0.011494
1566.315789,0.011494
1570.526316,0.015326
1574.736842,0.015326
1578.947368,0.019157
1583.157895,0.030651
1587.368421,0.030651
1591.578947,0.045977
1595.789474,0.107280
1600.000000,0.210728
1604.210526,0.222222
1608.421053,0.183908
1612.631579,0.134100
1616.842105,0.095785
1621.052632,0.088123
1625.263158,0.095785
1629.473684,0.118774
1633.684211,0.126437
1637.894737,0.118774
1642.105263,0.099617
1646.315789,0.072797
1650.526316,0.061303
1654.736842,0.045977
1658.947368,0.034483
1663.157895,0.034483
1667.368421,0.026820
1671.578947,0.022989
1675.789474,0.015326
1680.000000,0.011494
1684.210526,0.011494
1688.421053,0.011494
1692.631579,0.007663
1696.842105,0.007663
1701.052632,0.007663
1705.263158,0.007663
1709.473684,0.007663
1713.684211,0.007663
1717.894737,0.007663
1722.105263,0.007663
1726.315789,0.003831
1730.526316,0.003831
1734.736842,0.003831
1738.947368,0.003831
1743.157895,0.003831
1747.368421,0.003831
1751.578947,0.003831
1755.789474,0.003831
1760.000000,0.003831
1764.210526,0.003831
1768.421053,0.003831
1772.631579,0.003831
1776.842105,0.003831
1781.052632,0.000000
1785.263158,0.000000
1789.473684,0.003831
1793.684211,0.003831
1797.894737,0.003831
1802.105263,0.000000
1806.315789,0.000000
1810.526316,0.000000
1814.736842,0.000000
1818.947368,0.000000
1823.157895,0.000000
1827.368421,0.000000
1831.578947,0.000000
1835.789474,0.000000
1840.000000,0.000000
1844.210526,0.000000
1848.421053,0.000000
1852.631579,0.000000
1856.842105,0.000000
1861.052632,0.000000
1865.263158,0.000000
1869.473684,0.000000
1873.684211,0.000000
1877.894737,0.000000
1882.105263,0.000000
1886.315789,0.000000
1890.526316,0.000000
1894.736842,0.000000
1898.947368,0.000000
1903.157895,0.000000
1907.368421,0.000000
1911.578947,0.000000
1915.789474,0.000000
1920.000000,0.000000
1924.210526,0.000000
1928.421053,0.000000
1932.631579,0.000000
1936.842105,0.000000
1941.052632,0.000000
1945.263158,0.000000
1949.473684,0.000000
1953.684211,0.000000
1957.894737,0.000000
1962.105263,0.000000
1966.315789,0.000000
1970.526316,0.000000
1974.736842,0.000000
1978.947368,0.000000
1983.157895,0.000000
1987.368421,0.000000
1991.578947,0.000000
1995.789474,0.000000
2000.000000,0.000000
2008.438819,0.000000
2016.877637,0.000000
2025.316456,0.000000
2033.755274,0.000000
2042.194093,0.000000
2050.632911,0.000000
2059.071730,0.000000
2067.510549,0.000000
2075.949367,0.000000
2084.388186,0.000000
2092.827004,0.000000
2101.265823,0.000000
2109.704641,0.000000
2118.143460,0.000000
2126.582278,0.000000
2135.021097,0.000000
2143.459916,0.000000
2151.898734,0.000000
2160.337553,0.000000
2168.776371,0.000000
2177.215190,0.000000
2185.654008,0.000000
2194.092827,0.000000
2202.531646,0.000000
2210.970464,0.000000
2219.409283,0.000000
2227.848101,0.000000
2236.286920,0.000000
2244.725738,0.000000
2253.164557,0.000000
2261.603376,0.000000
2270.042194,0.000000
2278.481013,0.000000
2286.919831,0.000000
2295.358650,0.000000
2303.797468,0.000000
2312.236287,0.000000
2320.675105,0.000000
2329.113924,0.000000
2337.552743,0.000000
2345.991561,0.000000
2354.430380,0.000000
2362.869198,0.000000
2371.308017,0.000000
2379.746835,0.000000
2388.185654,0.000000
2396.624473,0.000000
2405.063291,0.000000
2413.502110,0.000000
2421.940928,0.000000
2430.379747,0.000000
2438.818565,0.000000
2447.257384,0.000000
2455.696203,0.000000
2464.135021,0.000000
2472.573840,0.000000
2481.012658,0.000000
2489.451477,0.000000
2497.890295,0.000000
2506.329114,0.003831
2514.767932,0.003831
2523.206751,0.003831
2531.645570,0.003831
2540.084388,0.003831
2548.523207,0.003831
2556.962025,0.003831
2565.400844,0.003831
2573.839662,0.003831
2582.278481,0.003831
2590.717300,0.003831
2599.156118,0.003831
2607.594937,0.003831
2616.033755,0.003831
2624.472574,0.003831
2632.911392,0.003831
2641.350211,0.003831
2649.789030,0.003831
2658.227848,0.003831
2666.666667,0.003831
2675.105485,0.003831
2683.544304,0.000000
2691.983122,0.000000
2700.421941,0.000000
2708.860759,0.000000
2717.299578,0.000000
2725.738397,0.000000
2734.177215,0.000000
2742.616034,0.000000
2751.054852,0.000000
2759.493671,0.000000
2767.932489,0.000000
2776.371308,0.003831
2784.810127,0.003831
2793.248945,0.000000
2801.687764,0.000000
2810.126582,0.003831
2818.565401,0.003831
2827.004219,0.000000
2835.443038,0.003831
2843.881857,0.000000
2852.320675,0.000000
2860.759494,0.003831
2869.198312,0.003831
2877.637131,0.003831
2886.075949,0.003831
2894.514768,0.003831
2902.953586,0.003831
2911.392405,0.003831
2919.831224,0.003831
2928.270042,0.003831
2936.708861,0.003831
2945.147679,0.003831
2953.586498,0.003831
2962.025316,0.003831
2970.464135,0.003831
2978.902954,0.011494
2987.341772,0.011494
2995.780591,0.003831
3004.219409,0.011494
3012.658228,0.019157
3021.097046,0.011494
3029.535865,0.011494
3037.974684,0.019157
3046.413502,0.026820
3054.852321,0.038314
3063.291139,0.114943
3071.729958,0.187739
3080.168776,0.183908
3088.607595,0.019157
3097.046414,0.011494
3105.485232,0.007663
3113.924051,0.003831
3122.362869,0.003831
3130.801688,0.003831
3139.240506,0.003831
3147.679325,0.003831
3156.118143,0.003831
3164.556962,0.003831
3172.995781,0.003831
3181.434599,0.003831
3189.873418,0.000000
3198.312236,0.003831
3206.751055,0.003831
3215.189873,0.003831
3223.628692,0.000000
3232.067511,0.000000
3240.506329,0.000000
3248.945148,0.000000
3257.383966,0.000000
3265.822785,0.000000
3274.261603,0.000000
3282.700422,0.000000
3291.139241,0.000000
3299.578059,0.000000
3308.016878,0.000000
3316.455696,0.000000
3324.894515,0.000000
3333.333333,0.000000
3341.772152,0.000000
3350.210970,0.000000
3358.649789,0.000000
3367.088608,0.000000
3375.527426,0.000000
3383.966245,0.000000
3392.405063,0.000000
3400.843882,0.000000
3409.282700,0.000000
3417.721519,0.000000
3426.160338,0.000000
3434.599156,0.000000
3443.037975,0.003831
3451.476793,0.003831
3459.915612,0.003831
3468.354430,0.000000
3476.793249,0.000000
3485.232068,0.000000
3493.670886,0.000000
3502.109705,0.000000
3510.548523,0.000000
3518.987342,0.000000
3527.426160,0.000000
3535.864979,0.000000
3544.303797,0.000000
3552.742616,0.000000
3561.181435,0.000000
3569.620253,0.000000
3578.059072,0.000000
3586.497890,0.000000
3594.936709,0.000000
3603.375527,0.000000
3611.814346,0.000000
3620.253165,0.000000
3628.691983,0.000000
3637.130802,0.000000
3645.569620,0.000000
3654.008439,0.000000
3662.447257,0.000000
3670.886076,0.000000
3679.324895,0.000000
3687.763713,0.000000
3696.202532,0.000000
3704.641350,0.000000
3713.080169,0.000000
3721.518987,0.000000
3729.957806,0.000000
3738.396624,0.000000
3746.835443,0.000000
3755.274262,0.000000
3763.713080,0.000000
3772.151899,0.000000
3780.590717,0.000000
3789.029536,0.000000
3797.468354,0.000000
3805.907173,0.000000
3814.345992,0.000000
3822.784810,0.000000
3831.223629,0.000000
3839.662447,0.000000
3848.101266,0.000000
3856.540084,0.000000
3864.978903,0.000000
3873.417722,0.000000
3881.856540,0.000000
