mode,raw_cm-1,scaled_cm-1,raman_activity,relative_intensity_488nm
1,18.366700,17.655909,0.000000,0.000000
2,30.731800,29.542479,0.000000,0.000000
3,59.884700,57.567162,0.000100,0.000015
4,63.645200,61.182131,7.286000,1.000000
5,72.329000,69.529868,6.101600,0.659841
6,86.016000,82.687181,0.000000,0.000000
7,105.971500,101.870403,0.406200,0.021867
8,119.962700,115.320144,0.054200,0.002339
9,169.605100,163.041383,0.000000,0.000000
10,188.263700,180.977895,7.456300,0.148323
11,262.467800,252.310296,1.117800,0.013010
12,288.404500,277.243246,0.000000,0.000000
13,390.271000,375.167512,0.000000,0.000000
14,416.981700,400.844508,0.051000,0.000299
15,417.000900,400.862965,0.000000,0.000000
16,429.068100,412.463165,12.211200,0.068681
17,447.652800,430.328637,0.000000,0.000000
18,451.839800,434.353600,0.001800,0.000009
19,513.116200,493.258603,1.308700,0.005762
20,550.218600,528.925140,0.000000,0.000000
21,632.152300,607.688006,12.129500,0.040608
22,632.224300,607.757220,0.000300,0.000001
23,668.240900,642.379977,0.240600,0.000750
24,678.383100,652.129674,0.000000,0.000000
25,696.845500,669.877579,0.000000,0.000000
26,698.068800,671.053537,0.036300,0.000107
27,722.276700,694.324592,0.000000,0.000000
28,723.114000,695.129488,5.201800,0.014674
29,805.763800,774.580741,27.850400,0.068591
30,818.561600,786.883266,0.003900,0.000009
31,818.962900,787.269036,0.000000,0.000000
32,819.141400,787.440628,0.000000,0.000000
33,869.292300,835.650688,0.003900,0.000009
34,869.355500,835.711442,9.865500,0.022104
35,916.068400,880.616553,0.306300,0.000643
36,959.899300,922.751197,0.000000,0.000000
37,960.109900,922.953647,4.503200,0.008920
38,965.168300,927.816287,0.000000,0.000000
39,986.397800,948.224205,0.027100,0.000052
40,986.478400,948.301686,0.000000,0.000000
41,1010.435400,971.331550,1.201300,0.002233
42,1010.449500,971.345104,0.000200,0.000000
43,1019.904900,980.434580,0.000200,0.000000
44,1020.115900,980.637415,58.457800,0.107390
45,1054.339200,1013.536273,0.000000,0.000000
46,1054.659800,1013.844466,26.536800,0.046771
47,1110.482100,1067.506443,0.234700,0.000388
48,1110.558300,1067.579694,0.000000,0.000000
49,1157.319700,1112.531428,0.000000,0.000000
50,1160.929000,1116.001048,17.912400,0.028001
51,1194.834900,1148.594789,0.016800,0.000025
52,1194.848100,1148.607479,16.684000,0.025154
53,1209.172900,1162.377909,0.000000,0.000000
54,1210.227500,1163.391696,8.474500,0.012572
55,1325.720600,1274.415213,126.213700,0.166785
56,1330.266000,1278.784706,0.001700,0.000002
57,1357.311800,1304.783833,30.069600,0.038555
58,1358.970500,1306.378342,0.000300,0.000000
59,1369.078600,1316.095258,5.329200,0.006758
60,1369.348900,1316.355098,0.000200,0.000000
61,1472.948600,1415.945489,0.000000,0.000000
62,1494.494200,1436.657274,17.150900,0.019412
63,1498.354900,1440.368565,0.000000,0.000000
64,1511.137800,1452.656767,23.133900,0.025806
65,1544.518700,1484.745826,0.000100,0.000000
66,1544.697400,1484.917611,0.536300,0.000581
67,1640.914600,1577.411205,0.000100,0.000000
68,1641.572300,1578.043452,10.159600,0.010156
69,1662.859400,1598.506741,0.072000,0.000071
70,1662.934200,1598.578646,211.815000,0.208112
71,1720.449400,1653.868008,283.081700,0.265674
72,1765.487400,1697.163038,0.000000,0.000000
73,3088.686700,2969.154525,1231.279600,0.481704
74,3185.495700,3062.217016,0.001600,0.000001
75,3186.837700,3063.507081,119.998000,0.044528
76,3187.814600,3064.446175,0.001200,0.000000
77,3199.342100,3075.527561,227.448200,0.083838
78,3199.349700,3075.534867,6.968900,0.002569
79,3209.297200,3085.097398,363.832700,0.133400
80,3209.643400,3085.430200,0.001100,0.000000
81,3229.047100,3104.082977,141.923200,0.051493
82,3229.069000,3104.104030,0.649700,0.000236
83,3233.838700,3108.689142,9.383400,0.003396
84,3233.863500,3108.712983,209.920000,0.075969
