mode,raw_cm-1,scaled_cm-1,raman_activity,relative_intensity_488nm
1,69.861400,67.157764,2.238900,1.000000
2,154.161500,148.195450,4.854300,0.523974
3,217.450200,209.034877,0.251900,0.015316
4,376.145300,361.588477,3.932400,0.103235
5,415.981900,399.883400,0.238600,0.005427
6,420.153000,403.893079,0.650200,0.014584
7,504.826600,485.289811,2.382600,0.041520
8,522.116400,501.910495,1.185100,0.019740
9,632.397100,607.923332,4.993500,0.064703
10,650.588500,625.410725,0.613600,0.007666
11,698.255200,671.232724,0.067400,0.000770
12,719.166200,691.334468,2.226800,0.024493
13,785.268700,754.878801,8.979500,0.088438
14,807.259400,776.018461,0.217300,0.002068
15,863.662900,830.239146,5.216200,0.045627
16,941.226700,904.801227,2.373000,0.018655
17,980.115400,942.184934,0.299400,0.002238
18,1008.965100,969.918151,0.532800,0.003842
19,1018.414900,979.002243,19.507600,0.139058
20,1053.748000,1012.967952,13.544600,0.092540
21,1103.891600,1061.170995,1.285900,0.008291
22,1123.113100,1079.648623,1.082700,0.006832
23,1195.869300,1149.589158,6.446600,0.037595
24,1215.638600,1168.593386,4.004400,0.022875
25,1223.972400,1176.604668,21.750800,0.123184
26,1334.107300,1282.477347,17.742200,0.090058
27,1355.213200,1302.766449,5.915800,0.029430
28,1369.218200,1316.229456,0.743600,0.003651
29,1495.327400,1437.458230,0.878700,0.003848
30,1542.352800,1482.663747,0.646200,0.002717
31,1641.331000,1577.811490,5.602200,0.021691
32,1661.225500,1596.936073,50.993300,0.194276
33,1851.754100,1780.091216,55.120900,0.181148
34,3172.017200,3049.260134,53.234400,0.077101
35,3191.316600,3067.812648,76.532000,0.109706
36,3202.759000,3078.812227,77.632600,0.110606
37,3213.257200,3088.904146,179.722300,0.254629
38,3228.401300,3103.462170,113.029200,0.158855
39,3740.822000,3596.052189,42.848400,0.046328
