mode,raw_cm-1,scaled_cm-1,raman_activity,relative_intensity_488nm
1,70.600000,68.330000,0.490000,0.648098
2,156.950000,151.910000,1.870000,0.591670
3,215.410000,208.500000,0.090000,0.016804
4,384.260000,371.930000,4.010000,0.309152
5,414.190000,400.890000,0.020000,0.001386
6,432.010000,418.140000,0.160000,0.010455
7,497.020000,481.070000,1.120000,0.060393
8,592.620000,573.600000,2.510000,0.107226
9,629.750000,609.540000,6.550000,0.258659
10,634.790000,614.410000,0.400000,0.015635
11,701.390000,678.880000,0.020000,0.000688
12,725.250000,701.970000,0.620000,0.020457
13,777.080000,752.140000,16.660000,0.504061
14,819.350000,793.050000,0.830000,0.023505
15,863.990000,836.260000,0.510000,0.013520
16,961.520000,930.660000,0.030000,0.000696
17,998.670000,966.610000,0.000000,0.000000
18,1015.090000,982.510000,0.090000,0.001953
19,1018.830000,986.130000,38.390000,0.829355
20,1048.020000,1014.380000,15.460000,0.322455
21,1096.390000,1061.200000,0.240000,0.004732
22,1120.960000,1084.980000,1.670000,0.032026
23,1186.210000,1148.130000,6.320000,0.112892
24,1191.500000,1153.250000,19.740000,0.350637
25,1211.680000,1172.790000,14.150000,0.246073
26,1344.990000,1301.820000,0.140000,0.002132
27,1365.360000,1321.530000,2.620000,0.039133
28,1372.800000,1328.730000,13.200000,0.195787
29,1485.640000,1437.950000,1.690000,0.022624
30,1529.520000,1480.420000,0.760000,0.009793
31,1630.590000,1578.250000,5.700000,0.067465
32,1651.640000,1598.620000,80.520000,0.936795
33,1790.520000,1733.040000,95.900000,1.000000
34,3185.110000,3082.870000,58.650000,0.254961
35,3197.190000,3094.560000,108.270000,0.467631
36,3206.050000,3103.140000,149.050000,0.640719
37,3220.900000,3117.510000,99.980000,0.426389
38,3228.660000,3125.020000,118.590000,0.503668
39,3766.640000,3645.730000,141.590000,0.456367
