mode,scaled_cm-1,IR_km_mol-1,Raman_activity,C8_O13,C18_O16,O15_H14,O19_H20
1,17.655908710000002,1.1308,0.0,2.565154297046224e-05,1.0817738979314703e-05,-1.5529686885733908e-06,2.6819062710886233e-05
2,29.54247934,0.0057,0.0,1.9238657227846677e-05,8.113304234486026e-06,-1.0353124590489272e-06,1.787937514059082e-05
3,57.567162110000005,3.6362,0.0001,-0.001174464963629912,0.0011718704410623275,-0.0016130964506181522,0.0016112940661222022
4,61.18213076000001,0.0,7.286,4.168375732700113e-05,-1.757882584138639e-05,-2.8471092623845506e-06,-4.916828163662477e-05
5,69.5298677,0.0,6.1016,-7.054174316877114e-05,2.9748782193115424e-05,-1.0353124590489272e-06,-1.787937514059082e-05
6,82.68718080000001,0.5403,0.0,-0.00012184482910969562,-5.1384260151744834e-05,6.729530983818028e-06,-0.00011621593841384035
7,101.87040295000001,0.0,0.4062,0.00322374632690368,0.0032227550481841016,0.003515035122383478,0.0035223165435656068
8,115.32014351000001,0.0,0.0542,0.00967123898071109,0.009668265144552352,0.018321745399094026,0.018323691549986636
9,163.04138263,0.0038,0.0,-3.8477314455693355e-05,-1.6226608468972053e-05,2.3294530328600868e-06,-4.0228594066329354e-05
10,180.97789481,0.0,7.4563,-4.809664306961669e-05,2.0283260586215064e-05,-7.764843442866954e-07,-1.3409531355443116e-05
11,252.31029614000002,0.0,1.1178,-0.008221254745409454,-0.008203093087436344,-0.004032741126545376,-0.004028235165305501
12,277.24324585,60.8551,0.0,0.009096071145053286,-0.009082107253495786,0.009678578703708906,-0.009667764396733206
13,375.16751230000006,1.3734,0.0,-0.0002996485639860588,0.00029285627500288264,0.005645837577163529,-0.005639529231427703
14,400.84450821,0.0,0.051,3.2064428713077797e-06,-1.3522173724143377e-06,-5.176562295244637e-07,-8.939687570295411e-06
15,400.86296517,0.045,0.0,-3.2064428713077797e-06,0.0,5.176562295244637e-07,-4.4698437851477055e-06
16,412.46316453000003,0.0,12.2112,0.01786836443380621,0.017871803573039503,0.027193775877493803,0.027185808913658686
17,430.32863664,1.5982,0.0,-4.809664306961669e-05,-2.0283260586215064e-05,2.5882811476223182e-06,-4.469843785147706e-05
18,434.35359974000005,0.0,0.0018,4.8096643069616697e-05,-2.0283260586215067e-05,-1.294140573811159e-06,-2.2349218925738526e-05
19,493.25860306000004,0.0,1.3087,-0.017269067305834093,-0.01728609102303373,0.016130964506181508,0.01611294066122201
20,528.9251401800001,88.9347,0.0,0.021367630032381624,-0.02138786023727729,-0.011809381158488948,0.011784977084595293
21,607.68800599,0.0,12.1295,0.0032237463269036972,0.003222755048184117,0.0008065482253090755,0.0008056470330611005
22,607.75721959,0.6023,0.0003,-0.01172052034398487,0.011719149751674136,-0.0008065482253090755,0.0008056470330611005
23,642.3799771700001,0.0,0.2406,0.01466874739921685,0.014648603183804565,-0.011002832933179888,-0.010979330051534208
24,652.12967403,49.2397,0.0,0.006171973382135668,-0.0061522084803145305,-0.004550447130707283,0.004534153787045402
25,669.8775791500001,5.3952,0.0,-5.1303085940924475e-05,-2.1635477958629403e-05,3.105937377146782e-06,-5.363812542177247e-05
26,671.05353744,0.0,0.0363,-4.809664306961669e-05,2.0283260586215064e-05,2.070624918097855e-06,3.5758750281181644e-05
27,694.32459171,113.419,0.0,-5.1303085940924475e-05,-2.1635477958629403e-05,2.070624918097855e-06,-3.5758750281181644e-05
28,695.1294882000001,0.0,5.2018,-5.771597168354004e-05,2.433991270345808e-05,1.0353124590489274e-06,1.7879375140590825e-05
29,774.5807409399999,0.0,27.8504,0.04835619490355547,0.04834132572276176,-0.0002288637830147218,-0.00020619021041868787
30,786.88326608,0.0048,0.0039,7.695462891138671e-05,-3.2453216937944106e-05,-1.811796803335623e-06,-3.128890649603394e-05
